accTradePrice,accTradeVolume,change,changePrice,date,foreignStraightPurchasePrice,individualStraightPurchasePrice,institutionStraightPurchasePrice,tradePrice
6253215,540027,RISE,32.9,2019-12-13 00:00:00,513911365518,-989159288330,479693826189,2170.25
8339490,584636,RISE,31.73,2019-12-12 00:00:00,551191440405,-917451418826,347309840463,2137.35
4837220,668731,RISE,7.62,2019-12-11 00:00:00,-7512087097,-176578748780,144964259752,2105.62
4172974,500064,RISE,9.35,2019-12-10 00:00:00,-19309670716,-131064343422,116910381394,2098.0
3982512,393126,RISE,6.8,2019-12-09 00:00:00,64964399875,-81820163393,-19757968323,2088.65
4215044,440188,RISE,21.11,2019-12-06 00:00:00,43006416008,-220119538277,160346164515,2081.85
4625010,472188,FALL,8.15,2019-12-05 00:00:00,-67788796908,58967578896,-24705056508,2060.74
5085778,347002,FALL,15.18,2019-12-04 00:00:00,-395335041350,320188828334,50796622698,2068.89
4709539,450039,FALL,7.85,2019-12-03 00:00:00,-269220100067,127267305479,114713957776,2084.07
4515836,385343,RISE,3.96,2019-12-02 00:00:00,-392000039710,49685807232,309396282888,2091.92
5100926,433260,FALL,30.64,2019-11-29 00:00:00,-449933226868,443432758845,-48651688850,2087.96
4483257,335227,FALL,9.25,2019-11-28 00:00:00,-116674994355,28204891052,72029926788,2118.6
4318299,367796,RISE,6.5,2019-11-27 00:00:00,-143091070751,18068550372,94186142189,2127.85
7636050,532600,FALL,2.15,2019-11-26 00:00:00,-857333987264,60411221037,763069951315,2121.35
4288509,397676,RISE,21.54,2019-11-25 00:00:00,-259477724433,-140773018268,358914415593,2123.5
4310267,519852,RISE,5.36,2019-11-22 00:00:00,-186042384719,58259755778,91181180853,2101.96
5437430,579554,FALL,28.72,2019-11-21 00:00:00,-570635361755,253435776440,264547309788,2096.6
5583376,581056,FALL,27.92,2019-11-20 00:00:00,-334143015722,360583518252,-98121543144,2125.32
5605578,826885,FALL,7.45,2019-11-19 00:00:00,-12765303107,96038130792,-120251143497,2153.24
4450920,489233,FALL,1.49,2019-11-18 00:00:00,-162737154221,66501141822,63444080729,2160.69
5694837,556246,RISE,22.95,2019-11-15 00:00:00,-141601319341,-656132858763,785893880208,2162.18
6080226,521109,RISE,16.78,2019-11-14 00:00:00,-208654197370,-62021227512,226055250656,2139.23
5376790,664365,FALL,18.47,2019-11-13 00:00:00,-27974666537,227668475510,-241883637580,2122.45
5743924,610428,RISE,16.83,2019-11-12 00:00:00,-39480199447,23751026367,-15128942148,2140.92
5346845,617265,FALL,13.14,2019-11-11 00:00:00,-172228741158,140467729306,-906838044,2124.09
5969290,574127,FALL,7.06,2019-11-08 00:00:00,-103705132195,6330602144,62993794555,2137.23
5134908,425662,RISE,0.14,2019-11-07 00:00:00,-153251853630,64250476063,53549902288,2144.29
5680104,410084,RISE,1.51,2019-11-06 00:00:00,236949812867,-66776165781,-213635443996,2144.15
5181344,400643,RISE,12.4,2019-11-05 00:00:00,321611105712,-211157918083,-133513181420,2142.64
5636693,476256,RISE,30.04,2019-11-04 00:00:00,68172775844,-512558096678,464360806837,2130.24
4599472,418314,RISE,16.72,2019-11-01 00:00:00,137809348775,-59365946305,-118443701845,2100.2
5777340,461322,RISE,3.21,2019-10-31 00:00:00,34735932471,-149834107990,59352159748,2083.48
5051507,415551,FALL,12.42,2019-10-30 00:00:00,10091359734,154415491858,-224860065364,2080.27
4067889,357662,FALL,0.91,2019-10-29 00:00:00,-99643916447,-16792808313,73462745451,2092.69
3853804,269233,RISE,5.71,2019-10-28 00:00:00,-55958667346,-125464221480,135903979345,2093.6
4429328,348686,RISE,2.23,2019-10-25 00:00:00,57017451577,-107239103045,41519411582,2087.89
5208814,367717,RISE,5.04,2019-10-24 00:00:00,174125653978,-158707892576,-55967506872,2085.66
5110883,429453,FALL,8.24,2019-10-23 00:00:00,116755434776,30299871445,-150348286895,2080.62
4811062,504063,RISE,24.02,2019-10-22 00:00:00,86059763079,-529237290627,433521369236,2088.86
3598365,606108,RISE,4.15,2019-10-21 00:00:00,-120771694742,44645087205,54174054571,2064.84
5429306,516687,FALL,17.25,2019-10-18 00:00:00,-130164300963,229220320065,-99977064496,2060.69
3484053,314177,FALL,4.89,2019-10-17 00:00:00,-94513433384,-9579471472,84331383093,2077.94
4463659,524545,RISE,14.66,2019-10-16 00:00:00,4577206853,-177394148252,144702646598,2082.83
4138985,464533,RISE,0.77,2019-10-15 00:00:00,-60201552737,27165428090,10908800101,2068.17
4579415,511215,RISE,22.79,2019-10-14 00:00:00,22134976452,-261208486935,221866040613,2067.4
3790613,381147,RISE,16.46,2019-10-11 00:00:00,109270821883,-156161212685,43761467629,2044.61
5612446,445846,FALL,18.1,2019-10-10 00:00:00,-137561655865,228096548281,-95443688689,2028.15
4256283,437517,RISE,24.52,2019-10-08 00:00:00,-46097194977,-255102756563,303487802077,2046.25
3412076,322184,RISE,1.04,2019-10-07 00:00:00,-22884907049,-42333439977,44012442552,2021.73
3963264,402940,FALL,11.22,2019-10-04 00:00:00,-149003748294,100059578604,24266249693,2020.69
3933921,414460,FALL,40.51,2019-10-02 00:00:00,-112448425614,502162483818,-380898290327,2031.91
3869998,389336,RISE,9.37,2019-10-01 00:00:00,-142618642344,-158455229247,295059996594,2072.42
3709169,327625,RISE,13.12,2019-09-30 00:00:00,-475545562,-98097153737,81203653074,2063.05
3489260,285943,FALL,24.59,2019-09-27 00:00:00,-24901280381,199478946968,-175507470047,2049.93
4656831,430577,RISE,1.13,2019-09-26 00:00:00,315990133016,51752933707,-384835849198,2074.52
5181991,651551,FALL,27.65,2019-09-25 00:00:00,-366056304034,222585025966,129146832772,2073.39
4406729,535771,RISE,9.34,2019-09-24 00:00:00,-216239549194,-162028737165,377963881920,2101.04
4095773,420948,RISE,0.18,2019-09-23 00:00:00,-68884269086,-22347560033,83893368149,2091.7
5401656,589919,RISE,11.17,2019-09-20 00:00:00,44514968772,-214725021463,181593332070,2091.52
4796838,493037,RISE,9.62,2019-09-19 00:00:00,218143869174,-101076420785,-99305988401,2080.35
4849403,613147,RISE,8.4,2019-09-18 00:00:00,55855959664,-161556343485,107450902103,2070.73
4572240,507995,RISE,0.11,2019-09-17 00:00:00,-80498635244,-31324847676,96187314534,2062.33
5676634,493516,RISE,13.02,2019-09-16 00:00:00,-160248644647,-45665662398,198207559509,2062.22
5997521,429075,RISE,17.12,2019-09-11 00:00:00,-283727737999,-334422549307,613450656344,2049.2
4458784,504390,RISE,12.53,2019-09-10 00:00:00,14629865416,-191938842008,171307182962,2032.08
4401821,511821,RISE,10.42,2019-09-09 00:00:00,233532689344,-173010797338,-74667972573,2019.55
3667155,384440,RISE,4.38,2019-09-06 00:00:00,48317361339,-33833975404,-19925504719,2009.13
5556532,488067,RISE,16.22,2019-09-05 00:00:00,188025900794,-284403732799,92947264356,2004.75
4133684,348722,RISE,22.84,2019-09-04 00:00:00,-350239221648,-149628132398,482953130991,1988.53
3916057,342077,FALL,3.5,2019-09-03 00:00:00,-305062695357,40405280337,249135022693,1965.69
2924232,262154,RISE,1.4,2019-09-02 00:00:00,-124189500551,-19632365980,132218528837,1969.19
4371488,317733,RISE,34.38,2019-08-30 00:00:00,224313278883,-398216732876,165158072830,1967.79
3709595,285103,FALL,7.68,2019-08-29 00:00:00,-112942804811,52354071793,45450492044,1933.41
3288745,284344,RISE,16.49,2019-08-28 00:00:00,-52144060447,-74887457987,106188638593,1941.09
5037419,427042,RISE,8.29,2019-08-27 00:00:00,-118071560217,-30920547065,131310675848,1924.6
3751275,324853,FALL,31.99,2019-08-26 00:00:00,-117499577116,53432164770,70914593951,1916.31
3498464,381086,FALL,2.71,2019-08-23 00:00:00,7492820208,-91222239146,66365573782,1948.3
4095130,435564,FALL,13.64,2019-08-22 00:00:00,-122875847809,161865603724,-51246331463,1951.01
3821800,391567,RISE,4.4,2019-08-21 00:00:00,-127370846222,100467451387,4752606868,1964.65
4130252,463604,RISE,20.35,2019-08-20 00:00:00,113008010709,-59971389966,-72294462481,1960.25
3771542,481022,RISE,12.73,2019-08-19 00:00:00,-139177830251,-57323479255,186928491641,1939.9
4274269,421682,FALL,11.2,2019-08-16 00:00:00,-93656571037,54935987001,15260133268,1927.17
5076486,699585,RISE,12.54,2019-08-14 00:00:00,-50129997513,51953202146,-24330176800,1938.37
4340208,660040,FALL,16.46,2019-08-13 00:00:00,-176459913402,155826882552,-2380357390,1925.83
3997754,427140,RISE,4.54,2019-08-12 00:00:00,-2395929386,184119206841,-185360740676,1942.29
5051265,654344,RISE,17.14,2019-08-09 00:00:00,-4334615152,215206061014,-229155018247,1937.75
6769546,777165,RISE,10.9,2019-08-08 00:00:00,-101694690381,238953911687,-141687955340,1920.61
5373398,760777,FALL,7.79,2019-08-07 00:00:00,-97980977628,176924442075,-98993496249,1909.71
7179083,739588,FALL,29.48,2019-08-06 00:00:00,-605553038200,-443939223985,1033727530027,1917.5
6599770,639603,FALL,51.15,2019-08-05 00:00:00,-316921730824,-443678573896,735509370197,1946.98
5338221,438538,FALL,19.21,2019-08-02 00:00:00,-397933068513,14287893269,362568870372,1998.13
4443149,461743,FALL,7.21,2019-08-01 00:00:00,-5092952337,-87314908217,83630987901,2017.34
5532912,589386,FALL,14.13,2019-07-31 00:00:00,-49583350880,-77404357141,120876288754,2024.55
3877489,547029,RISE,9.2,2019-07-30 00:00:00,141017930442,-146922035051,3852103061,2038.68
4681216,608670,FALL,36.78,2019-07-29 00:00:00,-62489251406,-76722402182,135001794966,2029.48
5138752,589074,FALL,8.22,2019-07-26 00:00:00,118419478003,-22056026426,-103154160451,2066.26
5207429,598634,FALL,7.82,2019-07-25 00:00:00,112419778174,45734287679,-153627893831,2074.48
4233306,851392,FALL,19.15,2019-07-24 00:00:00,58544880573,53253266145,-113962559883,2082.3
4601029,648123,RISE,8.11,2019-07-23 00:00:00,285705105671,-283310817272,3663580547,2101.45
3206206,332629,FALL,1.02,2019-07-22 00:00:00,233499184472,-64682614027,-168552083597,2093.34
