date,tradePrice,change,changePrice,accTradeVolume,accTradePrice,individualStraightPurchasePrice,foreignStraightPurchasePrice,institutionStraightPurchasePrice
2019-12-13 00:00:00,2170.25,RISE,32.9,540027,6253215,-989159288330,513911365518,479693826189
2019-12-12 00:00:00,2137.35,RISE,31.73,584636,8339490,-917451418826,551191440405,347309840463
2019-12-11 00:00:00,2105.62,RISE,7.62,668731,4837220,-176578748780,-7512087097,144964259752
2019-12-10 00:00:00,2098.0,RISE,9.35,500064,4172974,-131064343422,-19309670716,116910381394
2019-12-09 00:00:00,2088.65,RISE,6.8,393126,3982512,-81820163393,64964399875,-19757968323
2019-12-06 00:00:00,2081.85,RISE,21.11,440188,4215044,-220119538277,43006416008,160346164515
2019-12-05 00:00:00,2060.74,FALL,8.15,472188,4625010,58967578896,-67788796908,-24705056508
2019-12-04 00:00:00,2068.89,FALL,15.18,347002,5085778,320188828334,-395335041350,50796622698
2019-12-03 00:00:00,2084.07,FALL,7.85,450039,4709539,127267305479,-269220100067,114713957776
2019-12-02 00:00:00,2091.92,RISE,3.96,385343,4515836,49685807232,-392000039710,309396282888
2019-11-29 00:00:00,2087.96,FALL,30.64,433260,5100926,443432758845,-449933226868,-48651688850
2019-11-28 00:00:00,2118.6,FALL,9.25,335227,4483257,28204891052,-116674994355,72029926788
2019-11-27 00:00:00,2127.85,RISE,6.5,367796,4318299,18068550372,-143091070751,94186142189
2019-11-26 00:00:00,2121.35,FALL,2.15,532600,7636050,60411221037,-857333987264,763069951315
2019-11-25 00:00:00,2123.5,RISE,21.54,397676,4288509,-140773018268,-259477724433,358914415593
2019-11-22 00:00:00,2101.96,RISE,5.36,519852,4310267,58259755778,-186042384719,91181180853
2019-11-21 00:00:00,2096.6,FALL,28.72,579554,5437430,253435776440,-570635361755,264547309788
2019-11-20 00:00:00,2125.32,FALL,27.92,581056,5583376,360583518252,-334143015722,-98121543144
2019-11-19 00:00:00,2153.24,FALL,7.45,826885,5605578,96038130792,-12765303107,-120251143497
2019-11-18 00:00:00,2160.69,FALL,1.49,489233,4450920,66501141822,-162737154221,63444080729
2019-11-15 00:00:00,2162.18,RISE,22.95,556246,5694837,-656132858763,-141601319341,785893880208
2019-11-14 00:00:00,2139.23,RISE,16.78,521109,6080226,-62021227512,-208654197370,226055250656
2019-11-13 00:00:00,2122.45,FALL,18.47,664365,5376790,227668475510,-27974666537,-241883637580
2019-11-12 00:00:00,2140.92,RISE,16.83,610428,5743924,23751026367,-39480199447,-15128942148
2019-11-11 00:00:00,2124.09,FALL,13.14,617265,5346845,140467729306,-172228741158,-906838044
2019-11-08 00:00:00,2137.23,FALL,7.06,574127,5969290,6330602144,-103705132195,62993794555
2019-11-07 00:00:00,2144.29,RISE,0.14,425662,5134908,64250476063,-153251853630,53549902288
2019-11-06 00:00:00,2144.15,RISE,1.51,410084,5680104,-66776165781,236949812867,-213635443996
2019-11-05 00:00:00,2142.64,RISE,12.4,400643,5181344,-211157918083,321611105712,-133513181420
2019-11-04 00:00:00,2130.24,RISE,30.04,476256,5636693,-512558096678,68172775844,464360806837
2019-11-01 00:00:00,2100.2,RISE,16.72,418314,4599472,-59365946305,137809348775,-118443701845
2019-10-31 00:00:00,2083.48,RISE,3.21,461322,5777340,-149834107990,34735932471,59352159748
2019-10-30 00:00:00,2080.27,FALL,12.42,415551,5051507,154415491858,10091359734,-224860065364
2019-10-29 00:00:00,2092.69,FALL,0.91,357662,4067889,-16792808313,-99643916447,73462745451
2019-10-28 00:00:00,2093.6,RISE,5.71,269233,3853804,-125464221480,-55958667346,135903979345
2019-10-25 00:00:00,2087.89,RISE,2.23,348686,4429328,-107239103045,57017451577,41519411582
2019-10-24 00:00:00,2085.66,RISE,5.04,367717,5208814,-158707892576,174125653978,-55967506872
2019-10-23 00:00:00,2080.62,FALL,8.24,429453,5110883,30299871445,116755434776,-150348286895
2019-10-22 00:00:00,2088.86,RISE,24.02,504063,4811062,-529237290627,86059763079,433521369236
2019-10-21 00:00:00,2064.84,RISE,4.15,606108,3598365,44645087205,-120771694742,54174054571
2019-10-18 00:00:00,2060.69,FALL,17.25,516687,5429306,229220320065,-130164300963,-99977064496
2019-10-17 00:00:00,2077.94,FALL,4.89,314177,3484053,-9579471472,-94513433384,84331383093
2019-10-16 00:00:00,2082.83,RISE,14.66,524545,4463659,-177394148252,4577206853,144702646598
2019-10-15 00:00:00,2068.17,RISE,0.77,464533,4138985,27165428090,-60201552737,10908800101
2019-10-14 00:00:00,2067.4,RISE,22.79,511215,4579415,-261208486935,22134976452,221866040613
2019-10-11 00:00:00,2044.61,RISE,16.46,381147,3790613,-156161212685,109270821883,43761467629
2019-10-10 00:00:00,2028.15,FALL,18.1,445846,5612446,228096548281,-137561655865,-95443688689
2019-10-08 00:00:00,2046.25,RISE,24.52,437517,4256283,-255102756563,-46097194977,303487802077
2019-10-07 00:00:00,2021.73,RISE,1.04,322184,3412076,-42333439977,-22884907049,44012442552
2019-10-04 00:00:00,2020.69,FALL,11.22,402940,3963264,100059578604,-149003748294,24266249693
2019-10-02 00:00:00,2031.91,FALL,40.51,414460,3933921,502162483818,-112448425614,-380898290327
2019-10-01 00:00:00,2072.42,RISE,9.37,389336,3869998,-158455229247,-142618642344,295059996594
2019-09-30 00:00:00,2063.05,RISE,13.12,327625,3709169,-98097153737,-475545562,81203653074
2019-09-27 00:00:00,2049.93,FALL,24.59,285943,3489260,199478946968,-24901280381,-175507470047
2019-09-26 00:00:00,2074.52,RISE,1.13,430577,4656831,51752933707,315990133016,-384835849198
2019-09-25 00:00:00,2073.39,FALL,27.65,651551,5181991,222585025966,-366056304034,129146832772
2019-09-24 00:00:00,2101.04,RISE,9.34,535771,4406729,-162028737165,-216239549194,377963881920
2019-09-23 00:00:00,2091.7,RISE,0.18,420948,4095773,-22347560033,-68884269086,83893368149
2019-09-20 00:00:00,2091.52,RISE,11.17,589919,5401656,-214725021463,44514968772,181593332070
2019-09-19 00:00:00,2080.35,RISE,9.62,493037,4796838,-101076420785,218143869174,-99305988401
2019-09-18 00:00:00,2070.73,RISE,8.4,613147,4849403,-161556343485,55855959664,107450902103
2019-09-17 00:00:00,2062.33,RISE,0.11,507995,4572240,-31324847676,-80498635244,96187314534
2019-09-16 00:00:00,2062.22,RISE,13.02,493516,5676634,-45665662398,-160248644647,198207559509
2019-09-11 00:00:00,2049.2,RISE,17.12,429075,5997521,-334422549307,-283727737999,613450656344
2019-09-10 00:00:00,2032.08,RISE,12.53,504390,4458784,-191938842008,14629865416,171307182962
2019-09-09 00:00:00,2019.55,RISE,10.42,511821,4401821,-173010797338,233532689344,-74667972573
2019-09-06 00:00:00,2009.13,RISE,4.38,384440,3667155,-33833975404,48317361339,-19925504719
2019-09-05 00:00:00,2004.75,RISE,16.22,488067,5556532,-284403732799,188025900794,92947264356
2019-09-04 00:00:00,1988.53,RISE,22.84,348722,4133684,-149628132398,-350239221648,482953130991
2019-09-03 00:00:00,1965.69,FALL,3.5,342077,3916057,40405280337,-305062695357,249135022693
2019-09-02 00:00:00,1969.19,RISE,1.4,262154,2924232,-19632365980,-124189500551,132218528837
2019-08-30 00:00:00,1967.79,RISE,34.38,317733,4371488,-398216732876,224313278883,165158072830
2019-08-29 00:00:00,1933.41,FALL,7.68,285103,3709595,52354071793,-112942804811,45450492044
2019-08-28 00:00:00,1941.09,RISE,16.49,284344,3288745,-74887457987,-52144060447,106188638593
2019-08-27 00:00:00,1924.6,RISE,8.29,427042,5037419,-30920547065,-118071560217,131310675848
2019-08-26 00:00:00,1916.31,FALL,31.99,324853,3751275,53432164770,-117499577116,70914593951
2019-08-23 00:00:00,1948.3,FALL,2.71,381086,3498464,-91222239146,7492820208,66365573782
2019-08-22 00:00:00,1951.01,FALL,13.64,435564,4095130,161865603724,-122875847809,-51246331463
2019-08-21 00:00:00,1964.65,RISE,4.4,391567,3821800,100467451387,-127370846222,4752606868
2019-08-20 00:00:00,1960.25,RISE,20.35,463604,4130252,-59971389966,113008010709,-72294462481
2019-08-19 00:00:00,1939.9,RISE,12.73,481022,3771542,-57323479255,-139177830251,186928491641
2019-08-16 00:00:00,1927.17,FALL,11.2,421682,4274269,54935987001,-93656571037,15260133268
2019-08-14 00:00:00,1938.37,RISE,12.54,699585,5076486,51953202146,-50129997513,-24330176800
2019-08-13 00:00:00,1925.83,FALL,16.46,660040,4340208,155826882552,-176459913402,-2380357390
2019-08-12 00:00:00,1942.29,RISE,4.54,427140,3997754,184119206841,-2395929386,-185360740676
2019-08-09 00:00:00,1937.75,RISE,17.14,654344,5051265,215206061014,-4334615152,-229155018247
2019-08-08 00:00:00,1920.61,RISE,10.9,777165,6769546,238953911687,-101694690381,-141687955340
2019-08-07 00:00:00,1909.71,FALL,7.79,760777,5373398,176924442075,-97980977628,-98993496249
2019-08-06 00:00:00,1917.5,FALL,29.48,739588,7179083,-443939223985,-605553038200,1033727530027
2019-08-05 00:00:00,1946.98,FALL,51.15,639603,6599770,-443678573896,-316921730824,735509370197
2019-08-02 00:00:00,1998.13,FALL,19.21,438538,5338221,14287893269,-397933068513,362568870372
2019-08-01 00:00:00,2017.34,FALL,7.21,461743,4443149,-87314908217,-5092952337,83630987901
2019-07-31 00:00:00,2024.55,FALL,14.13,589386,5532912,-77404357141,-49583350880,120876288754
2019-07-30 00:00:00,2038.68,RISE,9.2,547029,3877489,-146922035051,141017930442,3852103061
2019-07-29 00:00:00,2029.48,FALL,36.78,608670,4681216,-76722402182,-62489251406,135001794966
2019-07-26 00:00:00,2066.26,FALL,8.22,589074,5138752,-22056026426,118419478003,-103154160451
2019-07-25 00:00:00,2074.48,FALL,7.82,598634,5207429,45734287679,112419778174,-153627893831
2019-07-24 00:00:00,2082.3,FALL,19.15,851392,4233306,53253266145,58544880573,-113962559883
2019-07-23 00:00:00,2101.45,RISE,8.11,648123,4601029,-283310817272,285705105671,3663580547
2019-07-22 00:00:00,2093.34,FALL,1.02,332629,3206206,-64682614027,233499184472,-168552083597
